time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
364492427.0,2984.0,0.0,0.0,0.01,0.01,0
364499443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364502427.0,2984.0,0.0,0.0,-0.03,0.01,0
364509443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364512427.0,2984.0,0.0,0.0,0.01,0.01,0
364519443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364522427.0,2984.0,0.0,0.0,0.01,0.01,0
364529443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364532427.0,2984.0,0.0,0.0,0.01,0.01,0
364539443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364542427.0,2984.0,0.0,-0.04,-0.03,0.05,0
364549443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364552427.0,2984.0,0.0,-0.04,0.01,0.01,0
364559443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364562427.0,2984.0,0.0,0.0,0.01,0.01,0
364569443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364572427.0,2984.0,0.0,0.0,-0.03,-0.03,0
364579443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364582427.0,2984.0,0.0,0.0,0.01,0.01,0
364589443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364592427.0,2984.0,0.0,0.0,0.01,0.01,0
364599443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364602427.0,2984.0,0.0,0.0,0.01,0.01,0
364609443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364612427.0,2984.0,0.0,0.0,0.01,-0.03,0
364619443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364622427.0,2984.0,0.0,0.0,0.01,0.01,0
364629443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364632427.0,2984.0,0.0,0.0,-0.03,0.05,0
364639443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364642427.0,2984.0,0.0,0.0,0.01,0.05,0
364649443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364652427.0,2984.0,0.0,0.0,0.01,-0.03,0
364660443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
364664427.0,3984.0,0.0,0.0,-0.03,0.01,0
364669443.0,5016.0,1.0,0.97,-0.01,-0.22,-0.0
364672427.0,2984.0,0.0,0.0,0.01,0.01,0
364679443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364682427.0,2984.0,0.0,0.0,0.05,-0.03,0
364689443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364692427.0,2984.0,0.0,-0.04,-0.03,0.01,0
364699443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364702427.0,2984.0,0.0,0.0,-0.03,-0.03,0
364709443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364712427.0,2984.0,0.0,0.0,0.01,-0.03,0
364719443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364722427.0,2984.0,0.0,0.0,-0.03,-0.03,0
364729443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364732427.0,2984.0,0.0,0.0,0.01,-0.03,0
364739443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364742427.0,2984.0,0.0,0.0,0.01,-0.03,0
364749443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364752427.0,2984.0,0.0,0.0,-0.03,-0.03,0
364759443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364762427.0,2984.0,0.0,-0.04,0.01,0.05,0
364769443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364772427.0,2984.0,0.0,0.01,-0.03,-0.03,0
364779443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364783427.0,3984.0,0.0,-0.03,0.01,0.01,0
364789443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
364792427.0,2984.0,0.0,0.01,-0.03,0.05,0
364799443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
364802427.0,2984.0,0.0,0.05,0.01,-0.03,0
364809443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
